,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
31,31,0.7581248528860921,2023-05-11 10:26:16.462395,2023-05-11 10:32:59.952184,0 days 00:06:43.489789,0.14453954797831486,16384,0.052868843962281364,1e-05,0.005,95.0,COMPLETE
32,32,0.49678112744715575,2023-05-11 10:32:59.961483,2023-05-11 10:33:34.928430,0 days 00:00:34.966947,0.14860476895635397,16384,0.05155364094900328,1e-05,0.005,100.0,COMPLETE
33,33,0.7581248503229088,2023-05-11 10:33:34.932399,2023-05-11 10:40:08.424981,0 days 00:06:33.492582,0.1571657204147128,16384,0.0643689174434531,1e-05,0.005,95.0,COMPLETE
34,34,0.7581248477597254,2023-05-11 10:40:08.428949,2023-05-11 10:46:02.639012,0 days 00:05:54.210063,0.1561494538079583,16384,0.05046249580391059,1e-05,0.005,95.0,COMPLETE
35,35,0.7581248554492755,2023-05-11 10:46:02.642038,2023-05-11 10:51:59.547673,0 days 00:05:56.905635,0.1562077165615566,16384,0.06152367804485616,1e-05,0.005,95.0,COMPLETE
36,36,0.49678112744715575,2023-05-11 10:51:59.551969,2023-05-11 10:52:31.576472,0 days 00:00:32.024503,0.14359166231244672,16384,0.06005439459403974,1e-05,0.005,100.0,COMPLETE
37,37,0.7581248516045005,2023-05-11 10:52:31.580773,2023-05-11 10:58:55.366280,0 days 00:06:23.785507,0.16332840371278864,16384,0.048995717171361926,1e-05,0.005,95.0,COMPLETE
38,38,0.7567211498797262,2023-05-11 10:58:55.369788,2023-05-11 11:05:14.718411,0 days 00:06:19.348623,0.16233221528281186,16384,0.046524748668284446,1e-05,0.005,85.0,COMPLETE
39,39,0.7548944319107057,2023-05-11 11:05:14.720435,2023-05-11 11:11:29.038611,0 days 00:06:14.318176,0.16431770721284567,16384,0.054565187295187216,1e-05,0.005,75.0,COMPLETE
40,40,0.7392687792601476,2023-05-11 11:11:29.041100,2023-05-11 11:21:57.717530,0 days 00:10:28.676430,0.1527544077782534,2048,0.04286749038097634,0.1,0.005,60.0,COMPLETE
41,41,0.7581248503229088,2023-05-11 11:21:57.720207,2023-05-11 11:27:58.090351,0 days 00:06:00.370144,0.14315346281253477,16384,0.058202627352794155,1e-05,0.005,95.0,COMPLETE
42,42,0.7581248567308672,2023-05-11 11:27:58.093299,2023-05-11 11:35:05.763275,0 days 00:07:07.669976,0.14636551687517835,16384,0.05382870466442512,1e-05,0.005,95.0,COMPLETE
43,43,0.7574641782824838,2023-05-11 11:35:05.765567,2023-05-11 11:43:22.692716,0 days 00:08:16.927149,0.14721073055750244,16384,0.055146047018478715,1e-05,0.005,90.0,COMPLETE
44,44,0.4967811287287474,2023-05-11 11:43:22.713483,2023-05-11 11:44:00.393653,0 days 00:00:37.680170,0.15526853855038203,16384,0.047985880370366746,1e-05,0.005,100.0,COMPLETE
45,45,0.7574641782824838,2023-05-11 11:44:00.401255,2023-05-11 11:51:39.291802,0 days 00:07:38.890547,0.1657730352645428,16384,0.05365934420016852,0.001,0.005,90.0,COMPLETE
46,46,0.49643500413995123,2023-05-11 11:51:39.298085,2023-05-11 11:53:18.245788,0 days 00:01:38.947703,0.1598890920657272,1024,0.04261416997836439,0.01,0.001,95.0,COMPLETE
47,47,0.7567211460349512,2023-05-11 11:53:18.253680,2023-05-11 12:00:23.435342,0 days 00:07:05.181662,0.15331859271023285,16384,0.05740345118439949,1e-05,0.005,85.0,COMPLETE
48,48,0.5001410891454046,2023-05-11 12:00:23.443215,2023-05-11 12:01:02.646767,0 days 00:00:39.203552,0.1690587938035794,2048,0.06652361864617218,1e-05,0.005,80.0,COMPLETE
49,49,0.733598788305314,2023-05-11 12:01:02.653834,2023-05-11 12:05:20.183606,0 days 00:04:17.529772,0.16012024999923097,16384,0.0608182199048285,0.1,0.05,5.0,COMPLETE
50,50,0.7548944280659308,2023-05-11 12:05:20.185435,2023-05-11 12:12:43.762223,0 days 00:07:23.576788,0.1394730411962797,16384,0.03249726038540954,1e-05,0.005,75.0,COMPLETE
51,51,0.7581248541676838,2023-05-11 12:12:43.767384,2023-05-11 12:20:26.531906,0 days 00:07:42.764522,0.14621732345211405,16384,0.05217062821089315,1e-05,0.005,95.0,COMPLETE
52,52,0.7581248580124589,2023-05-11 12:20:26.536749,2023-05-11 12:27:46.124978,0 days 00:07:19.588229,0.145595586952707,16384,0.05090127948650872,1e-05,0.005,95.0,COMPLETE
53,53,0.7127033101646849,2023-05-11 12:27:46.128566,2023-05-11 12:28:47.000526,0 days 00:01:00.871960,0.146085059409292,16384,0.05281215091768793,1e-05,0.1,100.0,COMPLETE
54,54,0.7322721474060903,2023-05-11 12:28:47.003925,2023-05-11 12:40:10.184609,0 days 00:11:23.180684,0.1516302924631125,1024,0.05440602329259467,0.001,0.005,90.0,COMPLETE
55,55,0.7504091545487389,2023-05-11 12:40:10.190157,2023-05-11 12:49:07.094099,0 days 00:08:56.903942,0.14095049087665676,16384,0.045306018088942746,1e-05,0.005,45.0,COMPLETE
56,56,0.7581248503229088,2023-05-11 12:49:07.098037,2023-05-11 12:56:46.504226,0 days 00:07:39.406189,0.14573972349712713,16384,0.0579516106203617,0.01,0.005,95.0,COMPLETE
57,57,0.501483662792275,2023-05-11 12:56:46.511665,2023-05-11 12:57:27.189488,0 days 00:00:40.677823,0.14822629807381796,4096,0.05116440162797873,1e-05,0.001,85.0,COMPLETE
58,58,0.4965495156372946,2023-05-11 12:57:27.192116,2023-05-11 12:58:04.263815,0 days 00:00:37.071699,0.15121266795295019,16384,0.06360166139410894,1e-05,0.005,20.0,COMPLETE
59,59,0.4969905920713603,2023-05-11 12:58:04.265547,2023-05-11 12:58:37.084330,0 days 00:00:32.818783,0.13330712612918663,2048,0.04874158292913435,1e-05,0.05,35.0,COMPLETE
60,60,0.7168630581159992,2023-05-11 12:58:37.085582,2023-05-11 12:59:46.723653,0 days 00:01:09.638071,0.14181955852611627,16384,0.06843962531029947,0.1,0.1,80.0,COMPLETE
61,61,0.7581248580124589,2023-05-11 12:59:46.735649,2023-05-11 13:07:50.121339,0 days 00:08:03.385690,0.1387914945231462,16384,0.049670326227036946,1e-05,0.005,95.0,COMPLETE
62,62,0.49678113129193074,2023-05-11 13:07:50.157801,2023-05-11 13:08:23.599956,0 days 00:00:33.442155,0.13907173168524362,16384,0.05623816723656605,1e-05,0.005,100.0,COMPLETE
63,63,0.7574641731561171,2023-05-11 13:08:23.602333,2023-05-11 13:17:22.509097,0 days 00:08:58.906764,0.14476322969454924,16384,0.052563620734653496,1e-05,0.005,90.0,COMPLETE
64,64,0.7581248541676838,2023-05-11 13:17:22.511771,2023-05-11 13:23:25.267298,0 days 00:06:02.755527,0.13257049843447768,16384,0.04582873400521712,1e-05,0.005,95.0,COMPLETE
65,65,0.7574641834088506,2023-05-11 13:23:25.274718,2023-05-11 13:29:48.274498,0 days 00:06:22.999780,0.13256760309236437,16384,0.04449330489626914,1e-05,0.005,90.0,COMPLETE
66,66,0.5014427607941135,2023-05-11 13:29:48.276904,2023-05-11 13:30:20.397726,0 days 00:00:32.120822,0.1380117788408221,1024,0.04754209962227155,0.001,0.005,85.0,COMPLETE
67,67,0.4970812006024588,2023-05-11 13:30:20.401465,2023-05-11 13:30:52.230251,0 days 00:00:31.828786,0.15019356945962406,4096,0.04007673460526212,1e-05,0.005,100.0,COMPLETE
68,68,0.4967811287287474,2023-05-11 13:30:52.233090,2023-05-11 13:31:23.199279,0 days 00:00:30.966189,0.14105064414730853,16384,0.05013685867156324,0.01,0.005,100.0,COMPLETE
69,69,0.4973911432952158,2023-05-11 13:31:23.201732,2023-05-11 13:31:54.048447,0 days 00:00:30.846715,0.1338184877871751,16384,0.059889496724612606,1e-05,0.001,90.0,COMPLETE
70,70,0.7567211460349512,2023-05-11 13:31:54.050646,2023-05-11 13:37:28.965285,0 days 00:05:34.914639,0.13759371318045538,16384,0.03967508898757435,1e-05,0.005,85.0,COMPLETE
71,71,0.7581248592940505,2023-05-11 13:37:28.970423,2023-05-11 13:43:13.434462,0 days 00:05:44.464039,0.14425251365631128,16384,0.051473388620451435,1e-05,0.005,95.0,COMPLETE
72,72,0.7581248503229088,2023-05-11 13:43:13.436081,2023-05-11 13:49:03.196159,0 days 00:05:49.760078,0.12911658920545613,16384,0.056241927345494463,1e-05,0.005,95.0,COMPLETE
73,73,0.7581248541676838,2023-05-11 13:49:03.197600,2023-05-11 13:55:07.187606,0 days 00:06:03.990006,0.14763646476563536,16384,0.046406124391816045,1e-05,0.005,95.0,COMPLETE
74,74,0.4967811300103391,2023-05-11 13:55:07.190560,2023-05-11 13:55:40.862384,0 days 00:00:33.671824,0.14261609660859662,16384,0.04976747767014767,1e-05,0.005,100.0,COMPLETE
75,75,0.7307522655516177,2023-05-11 13:55:40.864232,2023-05-11 13:56:50.814690,0 days 00:01:09.950458,0.14029582876153357,16384,0.051647529069662225,1e-05,0.05,90.0,COMPLETE
76,76,0.7142722641642177,2023-05-11 13:56:50.816567,2023-05-11 13:57:47.290056,0 days 00:00:56.473489,0.14975571089771084,16384,0.055566380402680464,1e-05,0.1,95.0,COMPLETE
77,77,0.5001410840190379,2023-05-11 13:57:47.292681,2023-05-11 13:58:24.193654,0 days 00:00:36.900973,0.13596599893126524,2048,0.06256968896318911,1e-05,0.005,80.0,COMPLETE
